"F2_word_count":numerical,"F2_char_count":numerical,"F2_distinct_word_count":numerical,"F2_vocab_richness":numerical,"F2_func_word_count_1":numerical,"F2_func_word_count_2":numerical,"F2_func_word_count_3":numerical,"F2_func_word_count_4":numerical,"F2_func_word_count_5":numerical,"F2_func_word_count_6":numerical,"F2_func_word_count_7":numerical,"F2_func_word_count_8":numerical,"F2_func_word_count_9":numerical,"F2_func_word_count_10":numerical,"F2_func_word_count_11":numerical,"F2_func_word_count_12":numerical,"F2_func_word_count_13":numerical,"F2_func_word_count_14":numerical,"F2_func_word_count_15":numerical,"F2_func_word_count_16":numerical,"F2_func_word_count_17":numerical,"F2_func_word_count_18":numerical,"F2_total_function_words_per_word_count":numerical,class:categorical
109,638,77,0.170846,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0.073394,1
109,638,77,0.170846,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0.073394,1
109,638,77,0.170846,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0.073394,1
109,638,77,0.170846,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0.073394,1
109,638,77,0.170846,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0.073394,1
109,638,77,0.170846,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0.073394,1
109,638,77,0.170846,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0.073394,1
109,638,77,0.170846,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0.073394,1
109,638,77,0.170846,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0.073394,1
109,638,77,0.170846,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0.073394,1
109,638,77,0.170846,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0.073394,1
109,638,77,0.170846,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0.073394,1
295,2059,147,0.143273,16,7,0,0,1,0,1,3,3,4,0,0,2,0,0,2,0,0,0.132203,1
1622,9515,414,0.170468,8,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0.008631,0
40,324,40,0.123457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,418,43,0.133971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,297,17,0.080808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,451,51,0.148559,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925,0
69,459,52,0.150327,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014493,0
66,519,64,0.127168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,354,40,0.144068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,442,48,0.138009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,465,49,0.131183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,1095,101,0.145205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,516,39,0.124031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,524,43,0.122137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,424,58,0.176887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,402,42,0.131841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,516,39,0.124031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
